text,label
"Apply now! Pay a registration fee of $50 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $30 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $60 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $40 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $70 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $20 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $30 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $100 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $40 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $50 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $60 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $70 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $40 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $20 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $70 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $30 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $50 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $60 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $20 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $50 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $30 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $60 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $40 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $100 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $70 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $40 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $20 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $70 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $30 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $50 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $60 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $70 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $100 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $20 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $100 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $40 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $30 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $60 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $50 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $70 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $20 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Limited seats! Pay $30 to enroll in this exclusive internship.",fraudulent
"Collaborate with professionals and enhance your career prospects.",legit
"Apply now! Pay a registration fee of $40 to secure your internship.",fraudulent
"Join our internship program with real experience and no fees.",legit
"No interview needed, pay $20 and get selected instantly.",fraudulent
"Work on exciting projects and gain valuable skills.",legit
"Guaranteed internship! Just pay $60 to confirm your spot.",fraudulent
"Remote internship opportunity with mentorship and stipend.",legit
"Send your personal info and pay $50 for onboarding.",fraudulent
"Paid internship at a reputed company with flexible hours.",legit
"Deposit $70 to start your internship immediately.",fraudulent
"Internship with hands-on experience and certificate on completion.",legit
"Skip the interview—just pay ₹750 to unlock your offer letter.",fraudulent
"Gain hands-on experience in Python, Flask, and ML APIs.",legit
"Send your Aadhaar and registration fee to begin onboarding.",fraudulent
"Get mentored by industry experts and contribute to live projects.",legit
"Limited slots! First come, first pay — ₹700.",fraudulent
"Participate in brainstorming sessions and build practical tools.",legit
"₹450 confirmation fee required to access company project materials.",fraudulent
"Create capstone projects and receive review from senior engineers.",legit
"Make payment via Paytm to activate your training access.",fraudulent
"Interns work in pairs on weekly deliverables and demos.",legit
"No technical interview. Pay ₹400 and you're in.",fraudulent
"Internship program is free and focused on skill-building.",legit
"₹700 processing fee activates internship dashboard access.",fraudulent
"Work directly with engineering teams on product development.",legit
"Unlock project credentials by clearing the ₹300 fee.",fraudulent
"Join our development sprints and track performance via Git.",legit
"Application fee ₹300 is mandatory to receive confirmation.",fraudulent
"Selected candidates will work remotely on real-time dashboards.",legit
"₹600 onboarding charge applies for verified internship certificate.",fraudulent
"Interns will receive guidance, resume reviews, and code walkthroughs.",legit
"Pay ₹500 to get lifetime job referrals and internship access.",fraudulent
"Interns will present final projects to the internal tech panel.",legit
"Internship admission fee ₹999 required before task allocation.",fraudulent
"Candidates will build portfolio-ready projects with guidance.",legit
"Processing fee ₹350 ensures your instant acceptance.",fraudulent
"Get access to learning resources and open datasets.",legit
"Secure your seat in our premium internship with a small deposit of ₹999.",fraudulent
"Interns will contribute to version-controlled repositories.",legit
"Pay now and get a guaranteed stipend internship without screening.",fraudulent
"Work on NLP modules and integrate with a chatbot system.",legit
"Registration charge ₹550 ensures placement with our hiring partners.",fraudulent
"Receive a completion certificate after successfully submitting tasks.",legit
"Immediate placement! Pay ₹500 via UPI and join today.",fraudulent
"Get exposure to client feedback and iteration cycles.",legit
"We offer guaranteed experience on payment of ₹850.",fraudulent
"Apply knowledge in real data pipelines, no payment required.",legit
"Internship e-certificate available after completing ₹650 payment.",fraudulent
"Collaborate on product features and improve customer experience.",legit
"Send payment screenshot and resume to finalize onboarding.",fraudulent
"Hands-on project with Flask and React, mentorship included.",legit

